park_code,name,designation,unit_type,states,visitors_2025,dark_sky_certified,timed_entry_required,has_entrance_fees,bird_species,alerts_active,latitude,longitude
cebr,Cedar Breaks National Monument,National Monument,Monuments,UT,718014,True,False,True,108,0,37.63545562,-112.845268
cech,César E. Chávez National Monument,National Monument,Monuments,CA,31497,False,False,False,,0,35.22729389,-118.5615781
cham,Chamizal National Memorial,National Memorial,Memorials,TX,7917,False,False,False,39,0,31.76729634,-106.4544011
chat,Chattahoochee River National Recreation Area,National Recreation Area,Recreation Areas,GA,2901903,False,False,True,191,1,33.99698333,-84.28953177
chch,Chickamauga & Chattanooga National Military Park,National Military Park,Battlefields & Military Parks,GA|TN,971647,False,False,True,175,0,34.94317623,-85.28749537
chcu,Chaco Culture National Historical Park,National Historical Park,Historical Parks,NM,29816,True,False,True,149,0,36.03963414,-107.9560076
chic,Chickasaw National Recreation Area,National Recreation Area,Recreation Areas,OK,1877797,False,False,False,84,1,34.46050507,-97.00715669
chir,Chiricahua National Monument,National Monument,Monuments,AZ,70406,True,False,False,,1,32.01214618,-109.341607
chis,Channel Islands National Park,National Park,National Parks,CA,227186,False,False,False,354,2,33.98680093,-119.9112735
choh,Chesapeake & Ohio Canal National Historical Park,National Historical Park,Historical Parks,DC|MD|WV,4579704,False,False,True,181,4,39.000283692,-77.2481399539
chpi,Charles Pinckney National Historic Site,National Historic Site,Historic Sites,SC,23758,False,False,False,,0,32.84577392,-79.82487582
chri,Christiansted National Historic Site,National Historic Site,Historic Sites,VI,100165,False,False,True,,1,17.7468,-64.7022
chsc,Little Rock Central High School National Historic Site,National Historic Site,Historic Sites,AR,49069,False,False,False,,0,34.7369465,-92.29987899
chyo,Charles Young Buffalo Soldiers National Monument,National Monument,Monuments,OH,4412,False,False,False,,0,39.70817829,-83.89328575
cibs,Carlisle Federal Indian Boarding School National Monument,National Monument,Monuments,PA,,False,False,False,,1,40.2094,-77.17971
ciro,City Of Rocks National Reserve,National Reserve,Preserves & Reserves,ID,90898,False,False,False,164,1,42.0699024,-113.7124097
clba,Clara Barton National Historic Site,National Historic Site,Historic Sites,MD,11309,False,False,False,,1,38.96762882,-77.14009689
coga,Constitution Gardens,Park Unit,Other,DC,,False,False,False,6,0,38.8909354,-77.04409306
colm,Colorado National Monument,National Monument,Monuments,CO,483436,False,False,True,164,1,39.05045016,-108.6920709
colo,Colonial National Historical Park,National Historical Park,Historical Parks,VA,1582994,False,False,True,262,1,37.22824435,-76.61998123
colt,Coltsville National Historical Park,National Historical Park,Historical Parks,CT,,False,False,False,,2,42.4677505493,-73.203666687
cong,Congaree National Park,National Park,National Parks,SC,287833,False,False,False,191,4,33.79187523,-80.74867805
coro,Coronado National Memorial,National Memorial,Memorials,AZ,179216,False,False,False,178,2,31.34900397,-110.2561574
cowp,Cowpens National Battlefield,National Battlefield,Battlefields & Military Parks,SC,175020,False,False,False,104,1,35.13160654,-81.80935433
crla,Crater Lake National Park,National Park,National Parks,OR,632242,False,False,True,210,2,42.94065854,-122.1338414
crmo,Craters Of The Moon National Monument & Preserve,National Monument & Preserve,Preserves & Reserves,ID,260418,True,False,True,219,1,43.20345611,-113.4791609
cuga,Cumberland Gap National Historical Park,National Historical Park,Historical Parks,KY|TN|VA,765010,False,False,False,156,1,36.62503076,-83.6114083
cuis,Cumberland Island National Seashore,National Seashore,Seashores & Lakeshores,GA,60299,False,False,True,322,3,30.85857484,-81.45253575
cure,Curecanti National Recreation Area,National Recreation Area,Recreation Areas,CO,807117,True,False,False,273,4,38.46584558,-107.3303371
cuva,Cuyahoga Valley National Park,National Park,National Parks,OH,3025325,False,False,False,241,4,41.26093905,-81.57116722
cwdw,Civil War Defenses of Washington,Park Unit,Other,DC|MD|VA,,False,False,False,,1,38.9644,-77.0292
daav,Dayton Aviation Heritage National Historical Park,National Historical Park,Historical Parks,OH,79760,False,False,False,,0,39.78944467,-84.10442045
ddem,Dwight D. Eisenhower Memorial,Memorial,Memorials,DC,676062,False,False,False,,0,38.8869476647,-77.018737554
dena,Denali National Park & Preserve,National Park & Preserve,Preserves & Reserves,AK,543300,False,False,True,160,2,63.29777484,-151.0526568
depo,Devils Postpile National Monument,National Monument,Monuments,CA,99652,False,False,False,103,1,37.6152564,-119.0873903
deso,De Soto National Memorial,National Memorial,Memorials,FL,124294,False,False,False,,1,27.52272613,-82.64335416
deto,Devils Tower National Monument,National Monument,Monuments,WY,515303,False,False,True,133,2,44.59064655,-104.7156341
deva,Death Valley National Park,National Park,National Parks,CA|NV,1320134,True,False,True,384,1,36.48753731,-117.134395
dewa,Delaware Water Gap National Recreation Area,National Recreation Area,Recreation Areas,NJ|PA,3986709,False,False,True,237,3,41.12793491,-74.94751173
dino,Dinosaur National Monument,National Monument,Monuments,CO|UT,315725,True,False,True,271,1,40.50739742,-108.9333714
drto,Dry Tortugas National Park,National Park,National Parks,FL,89355,False,False,True,289,5,24.628741,-82.87319
ebla,Ebey's Landing National Historical Reserve,National Historical Reserve,Preserves & Reserves,WA,,False,False,False,222,0,48.21403036,-122.6877213
edal,Edgar Allan Poe National Historic Site,National Historic Site,Historic Sites,PA,,False,False,False,,1,39.96195482,-75.1500062
edis,Thomas Edison National Historical Park,National Historical Park,Historical Parks,NJ,22370,False,False,True,,1,40.78549896,-74.23821139
efmo,Effigy Mounds National Monument,National Monument,Monuments,IA,56912,False,False,False,220,0,43.08095081,-91.19687517
eise,Eisenhower National Historic Site,National Historic Site,Historic Sites,PA,75328,False,False,False,111,0,39.79577592,-77.26508101
elca,El Camino Real de Tierra Adentro National Historic Trail,National Historic Trail,Trails,NM|TX,,False,False,False,,0,33.7990672546,-106.866386195
elis,Ellis Island Part of Statue of Liberty National Monument,Part of Statue of Liberty National Monument,Monuments,NJ|NY,,False,False,False,,0,40.69946,-74.0401
elma,El Malpais National Monument,National Monument,Monuments,NM,151998,False,False,False,206,2,34.88422799,-107.9950948
elmo,El Morro National Monument,National Monument,Monuments,NM,48797,True,False,False,124,1,35.03895916,-108.3463984
elro,Eleanor Roosevelt National Historic Site,National Historic Site,Historic Sites,NY,13586,False,False,False,49,0,41.76208482,-73.89894026
elte,El Camino Real de los Tejas National Historic Trail,National Historic Trail,Trails,TX|LA,,False,False,False,,0,30.0922964581,-97.3397666725
euon,Eugene O'Neill National Historic Site,National Historic Site,Historic Sites,CA,14881,False,False,False,49,0,37.82604456,-122.0271566
ever,Everglades National Park,National Park,National Parks,FL,778198,False,False,True,359,3,25.37294225,-80.88200301
feha,Federal Hall National Memorial,National Memorial,Memorials,NY,66223,False,False,False,,1,40.70731192,-74.01025636
fiis,Fire Island National Seashore,National Seashore,Seashores & Lakeshores,NY,305520,False,False,False,339,3,40.69668638,-73.00013462
fila,First Ladies National Historic Site,National Historic Site,Historic Sites,OH,8482,False,False,False,,1,40.79689857,-81.37579869
flfo,Florissant Fossil Beds National Monument,National Monument,Monuments,CO,63680,True,False,True,154,1,38.91260586,-105.2803396
flni,Flight 93 National Memorial,National Memorial,Memorials,PA,286079,False,False,False,,0,40.06061476,-78.89456905
fobo,Fort Bowie National Historic Site,National Historic Site,Historic Sites,AZ,8739,False,False,False,171,2,32.14925942,-109.451132
fobu,Fossil Butte National Monument,National Monument,Monuments,WY,20626,False,False,False,154,1,41.85635223,-110.7624754
foda,Fort Davis National Historic Site,National Historic Site,Historic Sites,TX,35580,False,False,True,125,2,30.59930381,-103.8961904
fodo,Fort Donelson National Battlefield,National Battlefield,Battlefields & Military Parks,KY|TN,151151,False,False,False,177,2,36.49019078,-87.92445695
fodu,Fort Dupont Park,Park Unit,Other,DC,,False,False,False,,0,38.87731289,-76.94955824
