park_code,campground,total_sites,reservable,amenities,nps_url
gumo,Frijole Horse Corral Campground,1,True,Vault toilets|Potable water|RV friendly|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10104621
hale,Hosmer Grove Campground,6,False,Vault toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/hale/planyourvisit/drive-up-camping.htm
hale,Kīpahulu Campground,9,False,Vault toilets|Tent sites,https://www.nps.gov/hale/planyourvisit/drive-up-camping.htm
hale,Wilderness Cabins,3,False,Vault toilets|Potable water,https://www.nps.gov/hale/planyourvisit/wilderness-cabins.htm
hale,Wilderness Tent Sites,10,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/hale/planyourvisit/wilderness-camping.htm
havo,Nāmakanipaio,16,False,Flush toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/havo/planyourvisit/namakanipaio-campground.htm
havo,Kulanaokuaiki,9,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/havo/planyourvisit/kulanaokuaiki-campground.htm
hosp,Gulpha Gorge Campground,40,True,Flush toilets|Showers|Potable water|Electric hookups|RV friendly|Cell reception,https://www.nps.gov/hosp/planyourvisit/campground.htm
hove,Hovenweep Campground,31,True,Flush toilets|Potable water,https://www.nps.gov/hove/planyourvisit/camping.htm
indu,Dunewood Campground,66,True,Flush toilets|Showers|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/indu/planyourvisit/campgrounds.htm
indu,Dunbar Group Site,1,True,Flush toilets|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10177496
indu,Central Avenue Walk-in Sites,5,True,Flush toilets|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10177495
isro,Beaver Island Campground,3,False,Potable water,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Belle Isle Campground,7,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Birch Island Campground,2,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Caribou Island Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,East Chickenbone Campground,4,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,West Chickenbone Campground,9,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Chippewa Harbor Campground,7,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Daisy Farm Campground,25,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,North Desor Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,South Lake Desor Campground,10,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Duncan Bay Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Duncan Narrows Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Feldtmann Lake Campground,7,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Grace Island Campground,2,False,Potable water,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Hatchet Lake Campground,8,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Hay Bay Campground,1,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Huginnin Cove Campground,5,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Intermediate Lake Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
isro,Island Mine Campground,6,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Lake Richie Campground,6,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Lake Richie Canoe Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
isro,Lake Whittlesey Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
isro,Lane Cove Campground,5,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Little Todd Campground,4,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Malone Bay Campground,7,False,Potable water,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,McCargoe Cove Campground,12,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Merritt Lane Campground,2,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
isro,Moskey Basin Campground,10,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Pickerel Cove Campground,1,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
isro,Rock Harbor Campground,23,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/isro/planyourvisit/rock-harbor.htm
isro,Siskiwit Bay Campground,9,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Three Mile Campground,15,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/camping.htm
isro,Todd Harbor Campground,9,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Tookers Island Campground,2,False,Potable water,https://www.nps.gov/isro/planyourvisit/boating-guide.htm
isro,Washington Creek Campground,19,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/isro/planyourvisit/windigo.htm
isro,Wood Lake Campground,3,False,Potable water|Tent sites,https://www.nps.gov/isro/planyourvisit/canoe-and-kayak.htm
jotr,Ryan Campground,32,True,Vault toilets,https://www.nps.gov/jotr/planyourvisit/ryan-campground.htm
jotr,Hidden Valley Campground,44,False,Vault toilets,https://www.nps.gov/jotr/planyourvisit/hidden-valley-campground.htm
jotr,Sheep Pass Group Campground,6,True,Vault toilets|Tent sites,https://www.nps.gov/jotr/planyourvisit/sheep-pass-group-campground.htm
jotr,Jumbo Rocks Campground,124,True,Vault toilets,https://www.nps.gov/jotr/planyourvisit/jumbo-rocks-campground.htm
jotr,Indian Cove Campground,101,True,Vault toilets,https://www.nps.gov/jotr/planyourvisit/indian-cove-campground.htm
jotr,White Tank Campground,15,False,Vault toilets,https://www.nps.gov/jotr/planyourvisit/white-tank-campground.htm
jotr,Belle Campground,18,False,Vault toilets,https://www.nps.gov/jotr/planyourvisit/belle-campground.htm
jotr,Black Rock Campground,99,True,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/jotr/planyourvisit/black-rock-campground.htm
jotr,Cottonwood Campground,62,False,Flush toilets|Potable water|Dump station,https://www.nps.gov/jotr/planyourvisit/cottonwood-campground.htm
katm,Brooks Camp Campground,32,False,Vault toilets|Showers|Potable water|Camp store|Tent sites,https://www.nps.gov/katm/planyourvisit/plyovicamp.htm
kaww,Sandbank Stream Campground,3,False,Vault toilets,
kaww,Lunksoos Campsites,7,False,Vault toilets|Tent sites,
