park_code,campground,total_sites,reservable,amenities,nps_url
acad,Blackwoods Campground,281,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/blackwoods-campground.htm
acad,Seawall Campground,202,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/seawall-campground.htm
acad,Schoodic Woods Campground,89,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/acad/planyourvisit/camping.htm
acad,Duck Harbor Campground,5,True,Potable water|Tent sites,https://www.nps.gov/acad/planyourvisit/duckharbor.htm
amis,Governors Landing Campground,15,False,Vault toilets|Potable water|Cell reception,https://www.nps.gov/amis/planyourvisit/governors-landing-campground.htm
amis,Rough Canyon Campground,4,False,Flush toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/rough-canyon-campground.htm
amis,San Pedro Campground,41,False,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/amis/planyourvisit/san-pedro-campground.htm
amis,Spur 406 Campground,6,False,Vault toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/spur-406-campground.htm
amis,277 North Campground,18,False,Vault toilets|Cell reception,https://www.nps.gov/amis/planyourvisit/277-north-campground.htm
amis,Rock Quarry Group Campsite,1,False,Vault toilets|Dump station|Cell reception,https://www.nps.gov/amis/planyourvisit/rock-quarry-group-campsite.htm
amme,American Memorial Park,0,False,,
arch,Devils Garden Campground,51,True,Flush toilets,https://www.nps.gov/arch/planyourvisit/camping.htm
asis,Oceanside Drive-in Campground,16,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/asis/planyourvisit/oceanside-drive-in-campground-reservation.htm
asis,Bayside Drive-in Campground,22,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/asis/planyourvisit/bayside-drive-in-campground-reservation.htm
asis,Oceanside Walk-in campground,62,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/asis/planyourvisit/oceanside-walk-in-campground-reservation.htm
asis,Oceanside Group Campground,5,False,Vault toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/asis/planyourvisit/oceanside-group-campground-reservation.htm
asis,Horse camping,2,False,Vault toilets|Showers|Potable water|Dump station|Camp store|RV friendly,https://www.nps.gov/asis/planyourvisit/horse-campground-reservation.htm
asis,Back Country Camping - Pine Tree,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Tingles Island,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Green Run,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Pope Bay,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - Little Levels,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
asis,Back Country Camping - State Line,1,False,Vault toilets|Dump station|Camp store|Tent sites|Cell reception,https://www.nps.gov/asis/planyourvisit/backcountry-camping.htm
badl,Sage Creek Campground,22,False,Vault toilets,https://www.nps.gov/thingstodo/backcountry-camping-badl.htm
badl,Cedar Pass Campground,96,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,
band,Ponderosa Group Campground,2,False,Vault toilets|Potable water|RV friendly|Tent sites|Cell reception,https://www.nps.gov/band/planyourvisit/ponderosa-group-campground.htm
band,Juniper Family Campground,52,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/band/planyourvisit/juniper-family-campground.htm
bibe,Chisos Basin Campground,56,False,Flush toilets|Potable water|Dump station|Camp store|Cell reception,https://www.nps.gov/bibe/planyourvisit/basin_campground.htm
bibe,Rio Grande Village Campground,93,False,Flush toilets|Showers|Potable water|Dump station|Camp store,https://www.nps.gov/bibe/planyourvisit/rgv_campground.htm
bibe,Cottonwood Campground,22,False,Vault toilets|Potable water|Camp store,https://www.nps.gov/bibe/planyourvisit/cottonwood_campground.htm
bibe,Rio Grande Village RV,25,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/bibe/planyourvisit/rgv_hookups.htm
bica,Horseshoe Bend Campground,68,False,Flush toilets|Potable water|Dump station|Camp store|Electric hookups|RV friendly,https://www.nps.gov/bica/planyourvisit/horseshoe-bend-campground.htm
bica,Barry's Landing & Trail Creek Campground,30,False,Vault toilets|Tent sites,https://www.nps.gov/bica/planyourvisit/trail-creek-campground.htm
bica,Afterbay Campground,22,False,Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/bica/planyourvisit/afterbay-campground.htm
bica,Grapevine Campground,14,False,Vault toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/bica/planyourvisit/grapevine-campground.htm
bica,Medicine Creek Campground,5,False,Tent sites,https://www.nps.gov/bica/planyourvisit/medicine-creek.htm
bica,Black Canyon Campground,17,False,Vault toilets|Tent sites,https://www.nps.gov/bica/planyourvisit/black-canyon.htm
bica,Dayboard 9 Campground,5,False,Tent sites,https://www.nps.gov/bica/planyourvisit/day-board-nine.htm
bicy,Bear Island Campground,40,False,,
bicy,Burns Lake,0,False,Vault toilets,
bicy,Gator Head,9,False,Vault toilets|Tent sites,
bicy,Midway Campground,36,False,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,
bicy,Mitchell's Landing,11,False,Vault toilets,
bicy,Monument Lake,36,False,Flush toilets|Potable water|RV friendly|Tent sites,
bicy,Pinecrest,4,False,,
bicy,Pink Jeep,9,False,Vault toilets|Tent sites,
bisc,Boca Chita Campground,60,True,Flush toilets|Showers|Potable water|Tent sites,https://www.nps.gov/bisc/planyourvisit/bocachita.htm
bisc,Elliott Key Campground,20,False,Tent sites,https://www.nps.gov/bisc/planyourvisit/elliottkey.htm
biso,Blue Heron Campground,45,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/biso/planyourvisit/blueheroncampground.htm
biso,Bandy Creek Campground,149,True,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/biso/planyourvisit/bandycreekcampground.htm
biso,Bear Creek Campground,23,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/biso/planyourvisit/horsecamps.htm
biso,Alum Ford Campground,6,True,Vault toilets|Tent sites,https://www.nps.gov/biso/planyourvisit/alumfordcampground.htm
biso,Station Camp Campground,24,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/biso/planyourvisit/horsecamps.htm
blca,South Rim Campground,88,False,Vault toilets|Potable water|Electric hookups|RV friendly,https://www.nps.gov/blca/planyourvisit/camp_southrim.htm
blca,North Rim Campground,13,False,Vault toilets|Potable water,https://www.nps.gov/blca/planyourvisit/camp_northrim.htm
blca,East Portal Campground,15,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/blca/planyourvisit/camp_east_portal.htm
blri,Crabtree Falls Campground,81,True,Flush toilets|Potable water|Dump station|RV friendly,https://www.nps.gov/blri/planyourvisit/crabtree-falls-cg.htm
blri,Doughton Park Campground,108,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/blri/planyourvisit/doughton-park-cg.htm
blri,Linville Falls Campground,64,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/blri/planyourvisit/linville-falls-cg.htm
blri,Rocky Knob Campground,106,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/blri/planyourvisit/rocky-knob-cg.htm
blri,Julian Price Park Campground,190,False,Flush toilets|Showers|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/blri/planyourvisit/price-cg.htm
blri,Mount Pisgah,125,True,Flush toilets|Showers|Potable water|Dump station|Camp store|RV friendly,https://www.nps.gov//blri/planyourvisit/mt-pisgah-cg.htm
blri,Peaks of Otter Campground,139,True,Flush toilets|Potable water|Dump station|Camp store|RV friendly|Tent sites,https://www.nps.gov//blri/planyourvisit/peaks-otter-cg.htm
blri,Otter Creek,68,True,Flush toilets|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/blri/planyourvisit/peaks-otter-cg.htm
brca,North Campground,100,False,Flush toilets|Potable water|Dump station|Camp store|RV friendly|Tent sites,https://www.nps.gov/brca/planyourvisit/northcampground.htm
brca,Sunset Campground,99,False,Potable water|Dump station|Camp store|RV friendly|Tent sites,https://www.nps.gov/brca/planyourvisit/sunsetcampground.htm
buff,Erbie Campground,32,False,Flush toilets|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Rush Campground,12,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Spring Creek Campground,12,False,Vault toilets|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,South Maumee,0,False,Vault toilets,
buff,Steel Creek Campground,39,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Tyler Bend Campground,42,True,Flush toilets|Showers|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/buff/planyourvisit/tyler-bend-campground.htm
buff,Woolum,0,False,Vault toilets,
buff,Ozark Campground,31,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Kyles Landing,33,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Carver Campground,8,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/buff/planyourvisit/camping.htm
buff,Buffalo Point Campground,106,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/buff/planyourvisit/buffalo-point-campground.htm
caha,Ocracoke Campground,135,True,Flush toilets|Showers|Potable water|Dump station|Cell reception,https://www.recreation.gov/camping/campgrounds/232504
caha,Oregon Inlet Campground,107,True,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.recreation.gov/camping/campgrounds/251431
caha,Frisco Campground,117,True,Flush toilets|Showers|Potable water|RV friendly|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/251430
caha,Cape Point Campground,202,True,Flush toilets|Showers|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/251945
calo,South Core Banks -- Beach camping,0,False,Cell reception,https://go.nps.gov/x2s8yq
calo,Great Island Cabin Camp,23,True,Flush toilets|Showers|Potable water|Dump station|Cell reception,https://www.nps.gov/calo/planyourvisit/lodging.htm
calo,North Core Banks - Beach Camping,0,False,Cell reception,
cana,Canaveral National Seashore Backcountry Island Camping,14,False,Tent sites|Cell reception,https://www.nps.gov/cana/planyourvisit/camping.htm
cany,The Needles Campground,26,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/cany/planyourvisit/camp-need.htm
cany,Island in the Sky (Willow Flat) Campground,12,False,Vault toilets,https://www.nps.gov/cany/planyourvisit/camp-isky.htm
cany,The Needles District Group Campsites,3,False,Vault toilets|Potable water,https://www.nps.gov/cany/planyourvisit/group-camp-need.htm
care,Primitive campsites at Cathedral Campground,6,False,Vault toilets,https://www.nps.gov/care/planyourvisit/primitive-campgrounds.htm
care,Primitive campsites at Cedar Mesa Campground,5,False,Vault toilets,https://www.nps.gov/care/planyourvisit/primitive-campgrounds.htm
care,Backcountry Camping,0,False,,
care,Fruita Campground,71,True,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/care/planyourvisit/fruitacampground.htm
care,Group Campsite,1,False,Flush toilets|Potable water|Dump station,
cato,Owens Creek Campground,50,True,Flush toilets|Showers|Potable water,https://www.recreation.gov/camping/campgrounds/247762?q=Owens%20Creek%20Campground
cato,Poplar Grove Youth Group Tent Campground,3,False,Vault toilets|Tent sites,https://www.recreation.gov/camping/campgrounds/232503?q=Poplar%20Grove%20Youth%20Group%20Campground
cato,Adirondack Shelters,2,True,Vault toilets,https://www.recreation.gov/camping/campgrounds/233321?q=Adirondack%20Shelters
cato,Camp Misty Mount,29,True,Flush toilets|Showers|Potable water|Cell reception,https://www.recreation.gov/camping/campgrounds/233241?q=Camp%20Misty%20Mount
cato,Camp Greentop,16,True,Flush toilets|Showers|Potable water|Cell reception,https://www.nps.gov/cato/planyourvisit/camp-greentop.htm
cato,Camp Round Meadow,1,True,Flush toilets|Showers|Potable water|Cell reception,https://www.recreation.gov/camping/campgrounds/251264
cebr,Point Supreme Campground,25,True,Flush toilets|Showers|Potable water|Tent sites,https://www.nps.gov/cebr/planyourvisit/psc.htm
chcu,Gallo Campground,24,False,Flush toilets|Potable water|RV friendly|Tent sites,
chic,Rock Creek Campground,100,False,Flush toilets|Potable water|Dump station|Cell reception,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Central Campground,0,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Buckhorn Campground Loop A,19,False,Flush toilets|Showers|Potable water|Dump station,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Cold Springs Campground,65,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,The Point Campground,55,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Guy Sandy Campground,40,False,Vault toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Buckhorn Campground Loop B,25,False,Flush toilets|Showers|Potable water|Dump station,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Buckhorn Campground Loop C,41,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chic,Buckhorn Campground Loop D,48,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/chic/planyourvisit/campgrounds.htm
chir,Bonita Canyon Campground,23,True,Flush toilets|Potable water,https://www.recreation.gov/camping/campgrounds/250901
chis,Anacapa Island Campground,7,True,Vault toilets|Tent sites,https://www.recreation.gov/camping/anacapa-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70984
chis,Scorpion Canyon Campground,31,False,Vault toilets|Potable water|Tent sites,https://www.recreation.gov/camping/santa-cruz-scorpion/r/campgroundDetails.do?contractCode=NRSO&parkId=70980
chis,Del Norte Backcountry Campground,4,False,Vault toilets|Tent sites,https://www.recreation.gov/camping/santa-cruz-del-norte-backcountry/r/campgroundDetails.do?contractCode=NRSO&parkId=70981
chis,Water Canyon Campground,15,False,Flush toilets|Potable water|Tent sites,https://www.recreation.gov/camping/santa-rosa-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70979
chis,Santa Rosa Island Backcountry Beach Camping,30,True,Potable water|Tent sites,https://www.recreation.gov/camping/santa-rosa-island-backcountry-beach-camping/r/campgroundDetails.do?contractCode=NRSO&parkId=1
chis,San Miguel Island Campground,9,True,Vault toilets|Tent sites,https://www.recreation.gov/camping/san-miguel-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70983
chis,Santa Barbara Island Campground,10,True,Vault toilets|Tent sites,https://www.recreation.gov/camping/santa-barbara-island/r/campgroundDetails.do?contractCode=NRSO&parkId=70982
choh,Bald Eagle Island Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Big Woods Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Calico Rocks Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Cacapon Junction Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Chisel Branch Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Cumberland Valley Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Devils Alley Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Evitts Creek Hiker-Biker Campsite,1,False,Potable water|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Horsepen Branch Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Irons Mountain Hiker-Biker Campsite,0,False,Potable water|Cell reception,https://www.nps.gov/choh/planyourvisit/camping.htm
choh,Horseshoe Bend Hiker-Biker Campsite,1,False,Potable water|Tent sites,
choh,Huckleberry Hill Hiker-Biker Campsite,0,False,Potable water,
choh,Indian Flats Hiker-Biker Campsite,0,False,Potable water|Cell reception,
choh,Indigo Neck Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Killiansburg Cave Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Marble Quarry Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Pigmans Ferry Hiker-Biker Campsite,0,False,Potable water|Cell reception,
choh,Potomac Forks Hiker-Biker Campsite,0,False,Potable water|Cell reception,
choh,Swains Lock Hiker-Biker Campsite,5,False,Potable water|Tent sites|Cell reception,
choh,Turtle Run Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Jordan Junction Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Little Pool Hiker-Biker Campsite,0,False,Potable water,
choh,Licking Creek Hiker-Biker Campsite,0,False,Potable water|Cell reception,
choh,Leopards Mill Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Opequon Junction Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,North Mountain Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Purslane Run Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Stickpile Hill Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Sorrel Ridge Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Town Creek Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
choh,Antietam Creek Campground,20,False,Potable water|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/252970?tab=info
choh,Fifteenmile Creek Campground,10,False,Vault toilets|Potable water|RV friendly|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/252968
choh,Marsden Tract Group Campground,6,False,Potable water|Tent sites,https://www.recreation.gov/camping/campgrounds/251544
choh,Mccoys Ferry Campground,13,True,Potable water|RV friendly|Cell reception,https://www.recreation.gov/camping/campgrounds/252969
choh,Paw Paw Tunnel Campground,10,False,Potable water|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/252971
choh,Spring Gap Campground,14,True,Potable water|RV friendly|Cell reception,https://www.recreation.gov/camping/campgrounds/252967
choh,White Rock Hiker-Biker Campsite,1,False,Potable water|Tent sites|Cell reception,
ciro,City of Rocks Campground,67,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/ciro/planyourvisit/camping.htm
ciro,Smoky Mountain Campground,38,False,Flush toilets|Showers|Potable water|Dump station|Electric hookups|RV friendly,https://www.nps.gov/ciro/planyourvisit/smoky-mountain-campground.htm
colm,Saddlehorn Campground,80,True,Flush toilets|Potable water|Cell reception,https://www.nps.gov/colm/planyourvisit/saddlehorn-campground.htm
cong,Longleaf Campground,14,True,Vault toilets|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10190876
cong,Bluff Campground,6,False,Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10191039
crla,Mazama Campground,214,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/crla/planyourvisit/mazama_campground.htm
crla,Lost Creek Campground,16,False,Tent sites,https://www.nps.gov/crla/planyourvisit/lost_creek.htm
crmo,Lava Flow Campground,42,False,Flush toilets|Potable water,https://www.nps.gov/crmo/planyourvisit/camping.htm
cuga,Wilderness Road Campground,150,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.nps.gov/cuga/planyourvisit/campgrounds.htm
cuis,Sea Camp Campground,18,False,Flush toilets|Showers|Potable water|Tent sites|Cell reception,https://www.nps.gov/cuis/planyourvisit/seacamp.htm
cuis,Stafford Beach Campground,10,False,Flush toilets|Showers|Potable water|Tent sites,https://www.nps.gov/cuis/planyourvisit/staffordbeach.htm
cuis,Hickory Hill Wilderness Campsite,4,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/cuis/planyourvisit/hickoryhill.htm
cuis,Yankee Paradise Wilderness Campsite,4,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/cuis/planyourvisit/yankeeparadise.htm
cuis,Brickhill Bluff Wilderness Campsite,4,False,Potable water|Tent sites|Cell reception,https://www.nps.gov/cuis/planyourvisit/brickhillbluff.htm
cure,Elk Creek Campground,155,True,Flush toilets|Potable water|Dump station|Electric hookups|RV friendly|Tent sites,https://www.nps.gov/cure/planyourvisit/camp_elk_creek.htm
cure,Lake Fork Campground,90,True,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.nps.gov/cure/planyourvisit/camp_lake_fork.htm
cure,Stevens Creek Campground,53,True,Vault toilets|Potable water|Cell reception,https://www.nps.gov/cure/planyourvisit/camp_stevens_creek.htm
cure,Cimarron Campground,21,False,Vault toilets|Potable water,https://www.nps.gov/cure/planyourvisit/camp_cimarron.htm
cure,Ponderosa Campground,28,False,Vault toilets|Tent sites,https://www.nps.gov/cure/planyourvisit/camp_ponderosa.htm
cure,Dry Gulch Campground,9,False,Vault toilets|Potable water,https://www.nps.gov/cure/planyourvisit/camp_dry_gulch.htm
cure,East Portal Campground,15,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/cure/planyourvisit/camp_east_portal.htm
cure,East Elk Creek Group Campground,1,False,Vault toilets|Potable water,https://www.nps.gov/cure/planyourvisit/camp_east_elk.htm
cure,Red Creek Campground,1,False,Vault toilets|Potable water,https://www.nps.gov/cure/planyourvisit/camp_red_creek.htm
cure,Gateview Campground,6,False,Vault toilets|Tent sites,https://www.nps.gov/cure/planyourvisit/camp_gateview.htm
dena,Riley Creek,142,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/dena/planyourvisit/campground-riley.htm
dena,Savage River,32,False,Flush toilets|Potable water,https://www.nps.gov/dena/planyourvisit/campground-savage.htm
dena,Sanctuary River,7,False,Vault toilets|Tent sites,https://www.nps.gov/dena/planyourvisit/campground-sanctuary.htm
dena,Teklanika River,53,False,Vault toilets|Potable water,https://www.nps.gov/dena/planyourvisit/campground-tek.htm
dena,Igloo Creek,7,False,Vault toilets|Tent sites,https://www.nps.gov/dena/planyourvisit/campground-igloo.htm
dena,Wonder Lake,28,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/dena/planyourvisit/campground-wonder.htm
deto,Belle Fourche River Campground,45,False,Flush toilets|Potable water|Tent sites|Cell reception,https://www.nps.gov/deto/planyourvisit/campgrounds.htm
deva,Emigrant Campground,10,False,Flush toilets|Potable water|Tent sites,https://www.nps.gov/deva/planyourvisit/emigrant-campground.htm
deva,Texas Springs Campground,106,False,Flush toilets|Potable water|Dump station|Tent sites,https://www.nps.gov/deva/planyourvisit/texas-springs-campground.htm
deva,Sunset Campground,230,False,Flush toilets|Potable water|Dump station|Camp store,https://www.nps.gov/deva/planyourvisit/sunset-campground.htm
deva,Stovepipe Wells Campground,190,False,Flush toilets|Potable water|Dump station|Camp store|Tent sites,https://www.nps.gov/deva/planyourvisit/stovepipe-wells-campground.htm
deva,Wildrose Campground,23,False,Vault toilets,https://www.nps.gov/deva/planyourvisit/wildrose-campground.htm
deva,Furnace Creek Campground,136,True,Flush toilets|Potable water|Dump station|Camp store|Electric hookups|RV friendly,https://www.nps.gov/deva/planyourvisit/furnace-creek-campground.htm
deva,Mesquite Spring Campground,40,False,Flush toilets|Potable water|Dump station,https://www.nps.gov/deva/planyourvisit/mesquite-spring-campground.htm
deva,Thorndike Campground (Primitive),6,False,Vault toilets,https://www.nps.gov/deva/planyourvisit/thorndike-campground.htm
deva,Mahogany Flat Campground (Primitive),9,False,Vault toilets,https://www.nps.gov/deva/planyourvisit/mahogany-flat-primitive-campground.htm
deva,Eureka Dunes Campground (Primitive),7,False,Vault toilets,https://www.nps.gov/deva/planyourvisit/eureka-dunes-campground-primitive.htm
deva,Homestake Campground (Primitive),10,False,,https://www.nps.gov/deva/planyourvisit/homestake-campground-primitive.htm
deva,Saline Valley Campground (Primitive),15,False,,https://www.nps.gov/deva/planyourvisit/saline-valley-campground-primitive.htm
dewa,Dingmans Campground,136,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,https://www.dingmanscampground.com/
dewa,Rivers Bend Group Campground,5,True,Vault toilets|Potable water,https://www.nps.gov/dewa/planyourvisit/group-camping.htm
dewa,Valley View Group Campground,5,True,Vault toilets|Tent sites,https://www.nps.gov/dewa/planyourvisit/group-camping.htm
dewa,Mohican Outdoor Center,16,False,Flush toilets|Showers|Potable water|Camp store|Tent sites|Cell reception,https://www.outdoors.org/lodging-camping/lodges/mohican
dewa,Worthington State Forest Campground,0,False,,https://nj.gov/dep/parksandforests/parks/worthingtonstateforest.html
dewa,River Camping,62,False,Vault toilets|Tent sites,https://www.nps.gov/dewa/planyourvisit/river-camping.htm
dino,Echo Park Campground,22,True,Vault toilets|Potable water|Tent sites,https://www.nps.gov/dino/planyourvisit/echoparkcampground.htm
dino,Rainbow Park Campground,4,False,Vault toilets|Tent sites,https://www.nps.gov/dino/planyourvisit/rainbowparkcampground.htm
dino,Split Mountain Group Campground,4,True,Flush toilets|Potable water|Cell reception,https://www.nps.gov/dino/planyourvisit/splitmountaincampground.htm
dino,Green River Campground,80,True,Flush toilets|Potable water|Cell reception,https://www.nps.gov/dino/planyourvisit/greenrivercampground.htm
dino,Deerlodge Park Campground,7,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/dino/planyourvisit/deerlodgecampground.htm
dino,Gates of Lodore Campground,19,False,Vault toilets|Potable water,https://www.nps.gov/dino/planyourvisit/gatesoflodorecampground.htm
drto,Garden Key Campground,8,False,Tent sites,
ebla,Fort Casey State Park,0,False,,
ebla,Fort Ebey State Park,0,False,,
elmo,El Morro Campground,9,False,Vault toilets|Potable water,https://www.nps.gov/elmo/planyourvisit/campgrounds.htm
ever,Long Pine Key Campground,108,False,Flush toilets|Showers|Potable water|Dump station|RV friendly|Tent sites,https://www.nps.gov/ever/planyourvisit/camping.htm
ever,Flamingo Campground,274,False,Flush toilets|Showers|Potable water|Dump station|Camp store|Electric hookups,
fiis,Backcountry Camping in the Otis Pike High Dune Wilderness,36,False,Tent sites,https://www.nps.gov/fiis/planyourvisit/backcountry-camping.htm
fiis,Watch Hill Campground,28,False,Flush toilets|Showers|Potable water|Camp store|Tent sites|Cell reception,https://www.nps.gov/fiis/planyourvisit/camping.htm
