park_code,park_name,bird_species,mammal_species
pisc,Piscataway Park,221,32
pisp,Pipe Spring National Monument,173,52
pohe,Potomac Heritage National Scenic Trail,0,1
pore,Point Reyes National Seashore,367,77
prsf,Presidio of San Francisco,238,40
prwi,Prince William Forest Park,129,36
puhe,Puʻukoholā Heiau National Historic Site,40,8
puho,Puʻuhonua o Hōnaunau National Historical Park,32,11
rabr,Rainbow Bridge National Monument,41,0
redw,Redwood National and State Parks,309,102
rich,Richmond National Battlefield Park,155,24
rocr,Rock Creek Park,182,30
romo,Rocky Mountain National Park,257,65
ruca,Russell Cave National Monument,130,35
saan,San Antonio Missions National Historical Park,233,39
sacn,Saint Croix National Scenic Riverway,269,57
saga,Saint-Gaudens National Historical Park,52,27
sagu,Saguaro National Park,210,69
sahi,Sagamore Hill National Historic Site,152,13
sair,Saugus Iron Works National Historic Site,32,0
sajh,San Juan Island National Historical Park,175,19
samo,Santa Monica Mountains National Recreation Area,400,54
sapu,Salinas Pueblo Missions National Monument,162,58
sara,Saratoga National Historical Park,0,37
sari,Salt River Bay National Historical Park and Ecological Preserve,14,0
scbl,Scotts Bluff National Monument,126,35
seki,Sequoia & Kings Canyon National Parks,212,74
shen,Shenandoah National Park,196,57
shil,Shiloh National Military Park,186,47
sitk,Sitka National Historical Park,182,17
slbe,Sleeping Bear Dunes National Lakeshore,238,54
stri,Stones River National Battlefield,152,36
sucr,Sunset Crater Volcano National Monument,113,37
tapr,Tallgrass Prairie National Preserve,136,40
this,Theodore Roosevelt Island,169,3
thro,Theodore Roosevelt National Park,161,50
thst,Thomas Stone National Historic Site,112,14
tica,Timpanogos Cave National Monument,128,60
timu,Timucuan Ecological & Historic Preserve,311,25
tont,Tonto National Monument,150,88
tuma,Tumacácori National Historical Park,182,33
tusk,Tule Springs Fossil Beds National Monument,235,25
tuzi,Tuzigoot National Monument,205,42
upde,Upper Delaware Scenic & Recreational River,95,43
vafo,Valley Forge National Historical Park,178,27
vall,Valles Caldera National Preserve,103,69
vama,Vanderbilt Mansion National Historic Site,62,2
vick,Vicksburg National Military Park,190,39
viis,Virgin Islands National Park,174,16
voya,Voyageurs National Park,235,56
waba,Washita Battlefield National Historic Site,7,21
waca,Walnut Canyon National Monument,108,52
wapa,War In The Pacific National Historical Park,29,9
wefa,Weir Farm National Historical Park,51,4
whho,The White House and President's Park,54,0
whis,Whiskeytown National Recreation Area,192,47
whmi,Whitman Mission National Historic Site,221,32
whsa,White Sands National Park,151,52
wica,Wind Cave National Park,217,55
wicr,Wilson's Creek National Battlefield,134,47
wotr,Wolf Trap National Park for the Performing Arts,91,17
wrst,Wrangell - St Elias National Park & Preserve,196,47
wupa,Wupatki National Monument,150,50
yell,Yellowstone National Park,289,68
yose,Yosemite National Park,269,83
yuch,Yukon - Charley Rivers National Preserve,152,37
yuho,Yucca House National Monument,121,57
zion,Zion National Park,262,72
